Country,State,City,Coordinates,Descriptions,Havens count,Place type,image
Costa Rica,,Puntarenas Province,"9.9667° N, 84.8333° W","Unleash your adventurous spirit amid diverse landscapes, charming seaside towns, and the awe-inspiring Pacific coast...",250+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0hGbHJ6M3FSMnpIcVFQY21fd3RBR1EvbkhXcHhubmVtdHM0SjB3eUdDd2E1RmRhVmhNYUlzSkxBdkxrelkwakNFbl9Yd2lGLVE0OVdHeGloR0FTNGZNdENTejc2Q3dWazNfd2JReXhhNHpNbGd3TUc3SWFSendXeWxrcTF3RGx0QUl3ekdHMkg1UXJiVXlpRG52N3NUcDl5RUdKSlJNNHdoUExmRzFHTWMzcXlRL2w2cTRJbTV1dUNmeFB6QlBST3NuX3JNTG5KUG1pZzVMZXRjVmZ0b3N1N2M="
Costa Rica,,Quepos,"9.4236° N, 84.1652° W","Embrace nature's wonders at Manuel Antonio National Park, bask in the sun on idyllic beaches, and savor the charm of a lively fishing village...",50+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0s0WGpNbmEtOTdvMU80OEY2S2s4amcvajlEUlBNQTA2YlMzRHRkdkJ0NXJteVNtWVlIeVNDc0JZZ0NEQVF2UXJ0VC1QTndFVHExN0tEOWVEM211YjRLYi00NDU1TWEtRFpXcWw3b1hZUWpXdHBkSVJkWW5lQWdHOFh5Ql9SSFIxYkpWeGF0ZWdhWVl0X1BYRzdaUC1zX18vZHRJMFRTU25EQzJVQzlBTm83cThRd0JMcDdHbGs0TThlU29KektqMFJJUQ=="
Costa Rica,,Tamarindo,"10.2996° N, 85.8406° W","Revel in sun-soaked shores, conquer world-class surf breaks, and soak up the laid-back atmosphere of this irresistible beach town...",25+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL1R2RnFLckh5eWFnSXZxQ1RUZm84LUEvQTBCa0ZFdXpsbGZOWENrTWZmMEUtQUF3MnUxcXFCdmh1aGduZ0xnbUc3UU5QU0ZpY1BTT2hvYUIyZ0NPZlJLblU5eFNYN3pKX1BwOUNEa2t3NkRnNS1NMTZKd1RkMU5Fd0p1bnFmLS1PVF9DaDdzZF9vUy1jRFRUTm41OHlnQW0vOVg2cVlrLUJ1UW5HbXlkWXpxdE14WEZRcktpV2twVWdIQjhXRmM4dENIRQ=="
Ecuador,,,,"Home to the Galápagos Islands and parts of the Andes and the Amazon, Ecuador is a backpacker’s haven. Whether you decide to surf along La Costa or peruse Quito’s historic sights, this natural getaway calls…",,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL1BqbDdYUHdvVXpMRnJnRHpzdHR5VHcvT1FHUDh3UDN6MU1xTnVzRzRxRXpOTm9FNWl0Qm5qY3hIZ0xEaENBRjE1VVpQTURtOHMwX1dTX19wUXZjS1A1VmRkUjdpNFZwYWIzMWFteXFzM0c3cmZVOUlLZXd2WUtXYnh5SUtSTkJpMHMvUXZMcHo5ZnozRWhoZUg0NmVDU0ZpYlFOSEJzTzNoY2p6T1k5S1BvTUZGTQ=="
Guatemala,,,,Guatemala touts lush landscapes & ancient Mayan culture. Glide across Lake Atitlán’s azure waters encircled by dramatic volcanic peaks or bargain for vibrant woven treasures at Antigua’s bustling markets...,,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwLzZ0OTJsZHZ4aVFMTmM1WEpTTktmeXcvQUdrNmRmZktja2NQa0hnZkpfX254YUJGeHZoNmxFYTg5ZzRxZ2RDbjZmdFA3Vk9idFZkWWZnMmFieVlWQUhtVGJudzhydGpQaGMxTGdBalJfNGxHQ0lQbVVHaHdyTTN2X20tZ0tlOWhsQ3cvOHJOdE9VTzZwQ1ROWG1SQkNTV1B1TE5iZjQ2SXZQc3ZycVdZeDBzRVM3UQ=="
Honduras,,,,"After exploring Honduras' barrier reefs and Mayan ruins, immerse yourself in urban life by cheering on one of Tegucigalpa’s soccer teams, or marvel at the city’s lights from the top of El Picacho National Park….",25+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwLy13ZEh2UWZXdkY3YkV3YldRQnczN1EvNlBKOFhTbXVEMm1Qc1VydGljN0I4aEhLV0RXUDFleS1tcUZFZHgwZVpkWlJZYUVVMUlPTnZ5Z29DQkJMeTZpb1RoOXZvUlJRak5rN1pQc2FqN1JrTWI1TWE5djhjX0YtNHZrVEF6RmQ3OUUvUnVfNXVMcTRUZ1hQSm5qX0xYYnE1TGo0ZXNTZ2ZUMmZPNTBBR1Rqd19Daw=="
Nicaragua,,,,"“The Land of Lakes and Volcanoes” has more to offer than dazzling natural wonders—explore pastel-colored streets in Granada, stroll the Paseo Xolotlán, or bargain for goods at Mercado Roberto Huembes…",5+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL1BLUXE2S1pMblNzY3JmbjI2WFA2UlEvWDBvbDh2LVBmOVZhLS1uTFFxbFR3dHpfdW45TE82OXZ3OEVMb0VkSFl6Nk1yME5ITHdIYUdmNXpLbWJEazltLXA3cUl3VFptemR5SDgxRDhnNXVHR0tMWmNicG1pZ2tQdl9FeDNrTFo1bEEvdVFyUTd6YUl3N2x1dTJsMXpUYUkwVE8zTWtxVG84aTZSVjlJZFRzbXM2aw=="
Panama,,,,"Panama boasts lush rainforests and ancient secrets, making it an ideal getaway for those seeking a nature escape. Feel the buzz from a cup of famous Panamanian coffee as you watch the sun rise over the ocean...",5+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL1gydUhuQVlvblQxeU1UQlZlRUxhVWcvY2hqZnUxbllqMTY3TVBjaUtROFlSMFNJVjN0QWdLcWFsYkhMNjlwUE9QeFRkYlcwekFBWmRkVEQ2eGZ0UlUxU1FDSENPbkp4YlAzYWt1VmxnT3g4RnB1R0ZQZ3dYM1ZLaEhlSVMzLXNJSjAvSC1Ba3lvbHhvQlhOZTlsN1E3M2xlTkVjODh2ZGdBQkd5ZjJxR0RfTDV6QQ=="
Morocco,,,,"Vast Saharan sands, soaring Atlas Mountains & untamed beaches paint Morocco’s landscapes. Stay in mosaic-laden riads with courtyard pools & dreamy rooftops, then hunt for treasures in vibrant souks…",25+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL1B1ZGZ3ZWxHSjM1b2tqRXVqSnAzSGcveDdyckJvNlJZUUpDLVZuQjlEc1pscV9aaEFmdmtfVFNaX0g4ZGlja3VWT3VJV2Z1S1JDWXFzc3lWOUgzaTF0eVkyY3dFMVBzSmhOYUV2RUplTFRtdHN0R014djRoVjBpLXJKYmpXSTFzX0UvTjZadk1HakJDc09waXdPV0VldVJZX1diREZROGNKWjJZSlpPUUl5WVJadw=="
Ghana,,,,"Immerse in the vibrant culture and warm hospitality of Ghana. Explore the bustling city of Accra, shop for colorful local artisan craft, and traverse the rainforest canopy at Kakum National Park...",,Top Destination,/images/Ghana.jpg
Kenya,,,,"Kenya is a land of sweeping savannas & majestic creatures. Wondrous waves of the Great Migration, sundowners in the bush, the warm glow of flaming sunsets—capture your bucket list moments….",,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3NkY0EteDBMMzRZOFVUWktZYXQzMkEvQV9kSzF2Yk1zdWQ5YmhDbTJueEozaHdGdE5IcXl3VzJUTjdJMGM5RUZNUzdOakdMWXZET2FlQmpGSF9oWlg4NFdZNGU5R01jbmVwTWNvVk00Ym9QNThCN2pVdEVaX3NhaXlpRTRjSlVqdVEvVS1JZFljdHhiOEVYNGZQdlpGTFFoUS1Mc3ZLSVZfX0V4YktKMlUzaDNTUQ=="
Rwanda,,,,"The Land of a Thousand Hills is home to 5 volcanoes & 23 glassy lakes, creating dramatic landscapes. Experience gorilla trekking on misty mountains or search for the Big Five on open savannas…",,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3hTMmxDT2JsV0lza0tKRE84ejhtVEEvREpOTVRBVk9aSWNhalNTLWdfb1dsYnpJRXg2QlJoSjBOeHQyRW5KRUtBczdsM1B6T3g1SkdEbVBna3VTYkFjLVJQTGJGLXh4azZCY3VNT2pFU3JzRnlLTENPSDhKTzJsZWU0T29LWmlJNW8vN2IzSVA2eHZWV0lkUzRmMnhyVHlfUFZLNV95SmxOWk1YUXZJQy0zNUtLcw=="
Seychelles,,,,"Rising out of the Indian Ocean, the Seychelles is a stunning archipelago of 115 islands situated between 4 & 10 degrees south of the equator, famed for dazzling beaches, unique geography, and natural beauty...",5+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3NZUmZRb3VBektUeDd3OXRjdVNDSkEvdVNrc09zblRLTzVIaURYY1U2eHBTaFJPSDVvOFdva2lMT0tTeDlicjNIZmJVWWN2WnZsUFNPNGNYcm0xeHJvVVFPWHhndnM3M1RmZlNVeGtJNlJzSEI2RGlLa1p1d1Y5aklwQ29zM2xKeUkvRXVuSUxUc2JDWHhJeWpFZHdSZ3A3T0xzV183MVVISE5xenNIYVNGWjB3SQ=="
Tanzania,,,,"Home to Mount Kilimanjaro & bountiful nature reserves, Tanzania is renowned for its wildlife. Watch wildebeests storm across the Serengeti, or marvel at elephants sauntering across the Ngorongoro...",,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0g5RlRDRy05dF9sOEo2RE5vaTU0RkEvcHVNdVNMRzZ1alhEUkhSTUZ1aHhBZ0ZHR1haNmpFUzRFQVhnTTJ4ZGoxdUNIVmg3SVQtS1RPdTZFYWR6VUdUSnA0YTVYLS16dG9QbVJnU291NW14OVJkQXQ3S1NMTi1Ob0pidkJyS0xiWTQvWWExWGtKOW9yc0ZZaTQtbmpoUERzOEx5TE5xSDRHbW8tUUxKdFNERHUtQQ=="
Zimbabwe,,,,"From rustic-chic tents to decadent lodges, Zimbabwe offers a haven for all adventurers. Feel the spray of Victoria Falls, glide down the Zambezi River, or spot elusive cheetahs in Hwange National Park...",,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL2diczBPQk1uUTJKamNjaGJkWkxZUmcvSUhEdkhQZmlmQ01SOUktdFNRZEt0QWVmU21DdlpSZzQ3dV9sNnBmaDlNTXRGVHYwSS1FUUlPQ09YLV8xNTI5bFVvc1NSb2lpSVlsV3N1RmR0OXRvWW1MT1VBQ0dMZUdYWkg5QVRWcUp6YzgvVVdzOU9WbFp4Q3R5QzVoRTZiODRlSmZRUWhyQmRaeUx5WmhEWVdzSjE0MA=="
South Africa,,,,"Most famous for Kruger’s majestic wildlife & luxe safari camps, South Africa has a broad appeal. Durban’s sandy Golden Mile, urban lofts overlooking Table Mountain & wine havens in Stellenbosch all await…",20+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL09TMmM3enRRRTVlazNodW1BWFhyNUEvbEhFb0tBaTJ4Z1pmNXFmelgwd1ktdWF4R09yYjNnVW44eDFrckJBRjZMTE8ySzVOV2t6Rld5SGN2MldRS2VuYVhZUkFtN3R1MXYzaWdUWXFJMEJBX1ZqRzY1TXVDVzZUS3FKV19NdEQtdkY5VVl0X2NoZm1MX2RQTzd1aVZ5U04va0JXN1k5XzR0TGEtdWNnVDl3aEo0c1VJT3RBaFFLVk9BMkpKazlRbTU5dw=="
Austria,,,,"From the Alps to agricultural plains, Austria’s natural wonders span high and low. Dreamy, snow-dusted ski towns such as St. Anton and Kitzbühel dot the terrain, while sparkling lakes astound..",50+ Havens,3 Top Destinations,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3oxZGlic0tSRlFsc3BORUYwNVN4cEEvZGQyUHRKNlRwSzVUdnF4Y3RIelkxOHBDOXBLcWYtdEJxLW5oalFRVWJPX29kd1NwczhyS0ZEcW10SHFSbGVtT2RyZjc5VVNqdWw2QXFMMDFQR3BKV0VUZjdZZ2xmV3pKVWZUWC1mTC1WRTAvczJuYWFUaE5peUY3a2R6SjI2U3dSYnBZdGlfeXp0MWhwaXRvLU1tTFF4cw=="
Austria,,Lech,"47.2103° N, 10.1445° E","Ski pristine slopes in an exclusive Alpine paradise, indulge in luxurious accommodations, and experience the charm of a traditional Austrian village…",25+ Havens,Top Destination,/images/Lech.jpg
Austria,,Saint Anton Am Arlberg,"47.1284° N, 10.2670° E","Embrace a renowned ski destination, conquer world-class slopes, and revel in a vibrant après-ski scene in this picturesque town…",5+ Havens,Top Destination,/images/Saint Anton am Arlberg.jpg
Austria,,Vienna,"48.2082° N, 16.3738° E","Immerse in imperial history, explore magnificent palaces, and savor the elegance of a city renowned for its music and culture…",10+ Havens,Top Destination,/images/Vienna.jpg
Belgium,,,,"Famous for delights such as waffles, beer, and frites, there’s no shortage of culinary vices in this European country. Attend music festivals, or check out Bruges, a UNESCO World Heritage Site….",,1 Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0dVZjVKUUU3aHR1WlI1anlZbnl5QmcvYTVUVGRHdE1RYjUxRjNNSzlwX0stX3VsVm9UcDRiUWp3Smx4T3JDdnVyYnhyempHaTc4aHEwWThqVE8wamdEUmt0UmZiMXEzMUYxZ2VFd2RhZWtPbnE5T2EyTExRbWt2bVVTUWJDZkhWOTgvbEppOUlrNHA2dzhEVHE4OE9UNXlkdUdVdHk1dmM0SFdtSHZQUEpPV0dKOA=="
Belgium,,Brussels,"50.8503° N, 4.3517° E","Wander through Europe's political heart, indulge in world-famous chocolates and waffles, and admire stunning Art Nouveau architecture…",,Top Destination,/images/Brussels.jpg
Bulgaria ,,,,"Bulgaria, nestled in Eastern Europe, offers a captivating blend of rich history and breathtaking natural beauty. From ancient ruins to stunning mountain ranges, Bulgaria invites travelers to explore its diverse landscapes and discover its cultural treasures.",5+ Havens,1 Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL2IybDU4RGpyeTRTSXloeTlBbndnYlEvNFNWcUhrMFRHV3Blc3pmVUZTcTV4bURldTVEQ3U5Sk9VOWZZV29QajBnNllSYzl6a1kwX1ZrbUo2NmtxNENJV09zR19SemxvXzc2N2FtVDhER2NfVmlSa2Q5N1JkOFNGTXpCVnlXNW9lV0Uvb3dOelhINFpsWVRfeC0wSmtpRm42V3NKVnVzWmZScktZSnNrT0h1aVFSTQ=="
Bulgaria ,,Sofia,"42.6977° N, 23.3219° E","Explore Bulgaria's dynamic capital, visit ancient landmarks, and experience a rich history and culture amid picturesque mountain landscapes…",,Top Destination,/images/Sofia.jpg
Croatia,,,,"From sleepy fishing villages to Zagreb’s gas-lit cobblestone streets, Croatia is teeming with old-world charm. Sun worshippers bask on the Dalmatian Coast & rushing waterfalls await at Krka National Park...",2000+ Havens,7 Top Destinations,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwLzFfWkZ2UkF2SEVSMHpkbC1OV2dfNFEvV0paYnFkem9HaWNHVDBsSWVTN1VUTlJKV2ltSnZ3SnRQY0hTTnpTeEZhMERzaWY0Qzg4UVlvOXhrQ0hqdVctbkV6YnlzYUZLMGFlZS1qVG55ZUdhQ2pLYlpyNEhqN25YYkJJekQ1aHFjQ1kvT0F0WlU2UUUwVzE4eUktZG1DaEgxMGRsejQ0XzhSR1pXblpiSDhuV1dtSQ=="
